,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,Taken_product
6136,319,1,9424,2,3,6,66,2599,0,1,23,0,3,1,10,0
9588,305,1,10554,26,3,1,95,8445,1,0,26,0,2,1,13,0
10071,234,1,34302,15,2,1,116,7193,2,0,22,0,1,1,19,0
11678,246,1,40165,15,4,6,51,6735,5,0,31,0,2,1,14,0
3815,331,1,7045,29,4,10,45,4599,3,0,28,1,2,0,22,0
11677,225,1,4801,1,3,0,108,5442,1,0,25,0,1,1,11,0
7560,252,1,36586,4,4,6,40,10404,1,0,14,0,3,0,14,1
6524,241,1,42776,11,4,0,55,2364,3,1,27,0,2,1,8,0
798,247,1,35595,25,3,7,55,2313,4,1,20,1,2,0,5,1
7027,380,1,25278,25,4,0,93,3222,1,0,22,0,4,1,10,0
6245,351,1,40047,7,4,6,37,5266,2,0,26,0,3,0,7,0
9905,238,0,19691,3,3,0,50,4147,1,0,21,0,1,0,12,1
11053,265,1,46703,10,4,0,99,2282,1,1,29,0,4,1,8,0
4923,152,1,47718,10,1,7,43,1050,3,1,15,0,4,0,7,1
3659,353,1,33458,1,2,3,91,4218,1,1,28,0,3,0,13,0
1108,262,1,34720,1,3,7,68,2450,1,0,19,0,2,0,3,0
103,255,1,23275,1,4,10,41,4809,1,0,14,0,3,0,16,0
11109,221,1,50827,2,1,0,90,3252,0,0,32,0,1,0,12,0
5246,219,1,14328,23,1,3,59,7396,1,0,24,0,1,1,13,1
10596,248,1,31755,7,3,0,100,5535,2,0,38,0,3,1,14,0
1074,247,1,18060,1,5,3,69,6388,2,1,17,0,1,0,14,0
1119,285,1,43575,14,3,3,80,9924,0,0,11,0,4,1,10,0
2580,262,1,3640,1,3,3,69,2074,1,1,12,0,4,1,1,1
567,255,1,10640,1,3,10,60,6274,1,0,22,1,3,0,6,0
8824,213,1,20733,2,1,6,50,3527,9,0,26,0,4,1,11,0
4523,181,1,39483,18,1,3,60,2833,0,0,21,0,3,1,7,0
9628,223,1,38795,28,4,0,107,2570,6,0,34,1,1,1,17,0
10773,277,1,18881,25,2,10,78,3738,6,0,21,0,4,0,13,0
2122,277,1,43820,19,2,7,32,7642,1,1,13,0,4,0,10,0
10975,203,0,44953,1,3,6,71,4357,3,0,20,0,2,0,15,0
7160,283,1,43373,8,2,10,96,4077,2,0,17,0,3,0,19,0
969,360,1,29925,1,3,3,54,7898,1,0,11,0,3,0,11,0
8319,368,1,29928,4,3,0,63,7909,1,0,20,0,3,0,11,0
60,240,1,14945,1,3,7,33,6162,1,1,22,1,2,1,9,0
4167,235,1,25965,1,4,3,83,3537,3,0,17,0,4,1,8,0
5863,271,1,39237,11,4,11,110,6692,5,0,18,0,1,1,11,0
2730,240,1,33355,1,4,2,65,2718,2,0,14,0,2,0,12,0
10720,270,1,5087,22,3,0,61,4286,2,0,30,0,3,0,14,0
7755,195,1,24091,3,3,6,96,4041,5,0,25,0,3,1,6,1
4308,256,1,25774,22,4,10,100,5796,3,1,18,0,2,0,23,0
10977,277,1,32882,2,4,6,90,2574,4,0,29,1,3,0,21,0
1363,247,1,7595,10,4,11,43,5487,1,0,14,0,2,0,10,0
10835,238,1,17594,27,5,1,120,5369,7,0,31,1,4,1,18,0
8914,250,1,38297,6,4,6,104,5064,3,0,38,0,1,0,17,0
3128,257,1,37458,1,1,3,55,9597,3,0,29,0,3,0,14,0
5622,257,1,23768,19,3,3,47,2981,1,0,16,0,2,0,13,0
3880,294,1,12638,23,3,7,108,3954,2,0,19,0,1,0,10,1
8440,228,1,15446,8,1,10,42,9722,3,0,23,0,3,1,9,0
11483,292,0,5237,2,3,6,66,2500,3,0,38,1,2,0,9,0
650,322,1,14770,1,3,3,33,5562,4,0,13,0,2,1,12,0
11568,283,1,48446,10,3,0,115,8368,9,1,31,0,4,1,21,0
9915,259,1,20670,28,4,0,97,5265,2,1,29,0,2,1,15,0
3558,188,1,6344,1,1,7,71,3481,9,0,18,0,3,0,13,0
6219,210,1,39562,8,4,1,67,6225,1,0,26,0,1,1,8,0
9972,166,1,19147,5,1,6,117,3163,1,0,25,0,3,0,13,0
476,180,1,28805,17,2,10,94,2127,1,0,21,1,4,1,1,0
4322,233,1,34209,1,2,7,63,3108,3,1,17,0,4,1,11,0
5377,301,1,11554,1,4,3,95,2447,3,0,26,1,3,1,7,0
507,217,1,41160,1,2,7,62,5561,1,0,14,0,1,1,6,0
10334,234,0,25275,1,2,6,72,4064,2,0,38,1,4,0,20,0
1332,217,1,16065,24,2,3,73,2439,1,1,24,1,2,0,1,1
6493,261,1,29026,3,2,5,96,3742,0,0,31,0,3,1,4,0
11537,244,1,35157,5,3,14,65,8394,3,0,40,0,3,1,11,0
6258,262,1,47679,19,3,1,77,5307,8,1,17,0,2,0,9,1
8909,355,1,23453,9,2,6,78,9681,1,0,34,0,4,0,17,1
6809,221,0,6767,2,3,0,56,3878,1,1,20,0,2,1,2,0
10230,310,1,15591,2,2,1,113,5731,4,0,37,0,3,1,18,0
8606,290,0,20802,2,2,6,80,2478,4,0,21,0,2,1,9,0
7508,303,1,22060,4,4,1,78,10864,7,0,19,0,1,1,15,0
7199,250,0,46135,10,4,1,85,4658,8,0,21,0,3,0,4,0
8868,353,0,42439,5,4,1,114,5821,6,1,34,1,3,0,19,0
7383,304,1,31331,5,3,14,67,2096,3,0,22,0,3,1,19,1
9002,321,1,47512,20,2,1,90,3196,3,1,34,1,4,0,11,1
6807,278,1,15022,2,4,0,64,5422,9,1,14,0,4,0,18,0
11391,247,1,28878,5,2,0,86,5933,5,0,20,0,1,1,16,0
2967,316,1,24219,1,4,11,57,6885,1,0,21,0,4,1,11,0
6063,386,1,11492,1,3,6,90,3699,2,0,26,0,4,1,5,0
8648,357,1,9142,21,2,6,69,8930,4,0,25,1,4,1,13,1
6826,309,1,10473,25,4,1,69,9106,2,1,18,0,3,0,9,1
3467,242,1,32551,10,3,11,65,5437,1,0,21,0,4,0,13,0
9159,208,1,39606,8,4,1,73,6267,1,0,32,0,1,1,9,0
11423,327,1,34696,27,3,14,105,4947,7,0,24,0,3,1,17,0
5281,182,1,34487,17,2,3,103,2270,2,0,20,0,1,1,4,1
3768,136,1,8686,1,1,7,95,1947,2,0,17,0,4,0,8,1
573,195,1,40110,1,3,2,38,5326,6,0,17,0,3,0,6,1
5590,272,1,10933,1,3,3,91,2060,4,0,22,0,3,0,20,0
8869,274,1,43050,8,1,0,63,2322,1,0,30,0,4,0,3,0
6660,219,1,47819,24,2,14,83,8731,1,0,23,0,1,0,10,1
4551,339,1,46090,29,3,7,91,3508,5,0,20,0,2,0,15,0
1928,300,1,38290,5,3,10,58,10932,3,0,15,0,3,1,20,0
7163,214,1,41341,1,3,0,90,2055,1,0,22,0,3,1,5,0
5895,227,1,48626,21,4,0,60,9992,1,0,15,0,3,1,10,0
10770,231,0,15740,12,4,0,86,2091,3,0,37,0,3,1,6,1
8825,246,0,35215,2,2,0,99,3117,1,0,24,0,3,0,14,0
3029,346,1,23445,1,2,7,74,9672,1,0,27,0,4,0,17,1
2948,287,1,7590,23,3,3,58,9576,0,0,27,1,2,0,16,0
129,367,1,16450,20,4,7,96,6567,1,0,14,0,3,0,16,0
5688,271,1,48440,10,3,3,103,8364,9,1,24,0,4,1,21,0
6007,153,1,18490,22,1,1,57,1678,1,1,26,0,4,0,0,1
3363,227,1,48963,22,4,10,79,8468,0,0,20,0,3,0,16,0
1069,210,1,49805,1,3,3,72,1563,1,0,14,0,4,1,1,0
9635,165,1,34488,1,1,14,84,2128,1,1,26,0,3,0,7,0
3150,242,1,36618,1,4,7,37,10441,1,0,21,0,3,0,19,1
6051,147,0,21081,1,1,14,103,2333,0,0,33,1,1,0,1,1
11307,214,1,48251,11,1,0,109,2146,1,0,30,0,2,0,12,0
3016,264,1,27203,1,4,11,43,4358,0,0,24,0,2,0,20,0
9162,241,1,43180,7,4,6,57,7200,1,1,25,0,3,0,17,0
7933,265,1,38891,8,2,0,96,6505,5,0,24,0,2,1,6,0
7538,264,0,37422,2,1,0,53,9559,1,0,23,0,3,0,10,0
5565,294,1,5980,1,2,7,82,3111,1,0,19,0,4,1,14,0
6671,272,1,42145,4,3,14,96,9587,0,1,29,1,1,0,9,1
2951,219,1,5390,15,2,3,63,4251,1,1,18,0,4,0,14,0
7947,320,1,32627,1,2,0,53,6066,9,1,22,0,4,1,8,0
4805,324,1,11005,21,3,7,71,2307,9,0,30,1,1,1,15,0
6408,381,0,19676,8,2,14,56,6801,3,1,17,0,1,1,18,1
140,240,1,36155,1,3,7,41,4200,7,0,22,1,1,0,10,1
7789,241,0,18702,20,3,0,69,9835,3,0,17,0,1,0,12,1
1046,330,1,51345,20,3,3,49,3420,1,0,13,0,3,0,6,0
8172,264,0,35111,2,2,0,100,4044,2,0,19,0,4,0,5,0
8879,288,1,39078,1,4,0,65,6044,2,0,34,0,3,1,9,0
11545,258,1,7422,16,3,0,87,8629,3,1,29,1,3,0,17,1
10487,329,1,32457,21,2,6,54,5330,4,0,31,0,2,1,15,0
490,285,1,12670,1,1,3,43,2619,3,0,17,0,4,0,8,0
5523,241,1,42036,1,4,2,77,4140,5,0,20,0,2,1,12,0
5876,294,1,21498,1,3,7,49,10038,4,0,22,0,1,1,11,0
10034,337,1,32281,2,3,0,116,7932,3,1,34,0,2,1,18,0
10506,236,0,11735,26,4,1,71,6762,6,0,24,0,3,0,14,1
8867,289,1,14328,19,2,0,97,3083,4,0,35,1,1,0,12,0
9665,307,0,31615,26,2,6,108,4480,4,1,29,0,4,1,17,0
7409,281,1,39028,1,4,0,62,5998,1,0,24,0,3,1,7,0
3828,265,1,42464,1,2,11,88,10420,6,1,17,0,2,1,25,0
864,307,1,31710,1,2,3,95,2107,6,0,17,0,1,1,5,1
8434,260,1,33993,1,3,14,73,7091,1,1,22,0,4,0,10,0
1307,210,1,42595,1,3,7,67,3591,1,0,25,1,3,1,3,0
8082,228,0,3818,5,3,6,67,2433,0,0,27,0,1,0,4,1
6805,322,1,21110,7,4,6,90,2382,6,1,22,0,4,0,18,0
10571,325,1,22265,1,1,0,119,4960,3,0,35,1,3,0,29,0
8467,265,1,47294,1,4,0,57,5489,9,0,22,0,2,1,9,0
4786,384,1,41275,14,2,3,98,4987,4,0,22,0,3,1,23,0
3628,143,1,14695,21,3,10,46,2163,2,1,25,0,2,0,3,1
4721,339,1,43758,1,3,3,105,5266,1,0,28,0,1,1,28,0
10190,365,1,40964,14,4,14,83,5529,8,0,32,0,3,1,24,0
7351,372,0,9775,8,1,0,71,5138,1,0,33,1,4,1,10,0
6351,293,1,52330,10,3,6,87,9832,3,0,28,0,3,1,18,0
11293,199,1,33269,1,3,14,105,3296,5,0,27,0,2,1,14,0
1271,157,1,11795,1,1,11,31,2679,1,0,13,0,2,0,1,1
7632,227,0,15478,2,2,0,56,4559,1,0,29,0,1,0,10,0
8151,378,0,33577,1,4,10,87,4740,3,1,19,0,4,0,5,1
6627,292,1,36230,3,4,0,50,6865,8,1,18,0,3,0,19,0
7150,259,1,17896,3,2,0,44,6037,5,0,20,0,1,0,6,0
9104,203,0,17417,11,2,6,84,4796,3,1,29,0,3,1,12,0
10572,224,0,15523,2,2,0,63,4623,3,0,40,0,1,0,10,0
9783,295,1,35367,2,2,0,48,6939,4,0,26,0,4,1,13,0
773,270,1,27860,12,5,7,51,8858,0,0,11,0,2,0,15,0
9316,169,1,47055,22,1,14,63,3507,2,0,23,0,3,0,8,0
5669,227,1,10723,16,3,3,70,5341,3,0,24,0,3,1,14,0
1231,345,1,25095,13,4,3,34,5562,6,0,14,0,4,0,19,0
4108,182,1,19887,1,1,2,38,3807,1,1,17,0,3,0,12,0
8029,236,1,41588,20,2,1,53,6940,1,0,17,0,4,1,9,0
2179,232,1,11725,1,2,7,46,2321,0,1,22,1,1,0,4,1
7870,368,1,28605,2,1,1,66,8125,3,0,18,0,4,0,12,0
8986,320,1,16327,14,3,0,72,2511,6,0,32,0,1,1,17,0
4099,294,1,24935,1,3,7,89,5095,2,0,24,0,4,0,15,0
7987,249,1,10510,1,3,0,72,2320,0,0,18,0,2,1,4,0
9235,261,0,10414,6,2,1,54,2413,2,0,30,0,4,1,4,1
7903,306,1,28143,2,1,6,91,2354,0,1,24,1,4,0,5,0
4102,264,1,25828,10,3,7,67,10351,10,0,26,0,3,0,21,1
8671,360,1,7248,9,4,0,71,2115,4,0,21,0,3,0,7,0
11549,235,1,10729,16,3,0,82,5351,3,0,35,0,3,1,14,0
6071,209,1,31298,9,3,6,105,2285,1,0,21,0,4,0,7,0
10118,360,1,9190,21,2,6,88,8980,5,0,29,1,4,1,22,1
7205,323,1,39975,8,3,0,92,3974,4,0,17,0,4,0,8,0
7832,244,1,47785,13,4,6,52,4236,2,0,26,0,3,0,9,1
8850,253,1,32395,2,3,6,97,2552,4,0,24,0,4,0,15,0
5166,242,1,38848,29,4,7,83,4082,10,0,22,0,2,0,14,0
7731,236,1,7078,2,1,14,76,2479,1,0,29,0,1,1,1,0
5460,317,1,26226,1,2,7,80,3716,3,0,24,0,3,0,22,0
1067,352,1,19985,14,3,7,78,4591,3,1,17,0,3,1,11,0
10041,347,1,43371,1,1,0,89,10804,5,0,40,1,4,1,29,0
833,202,1,6965,1,3,3,55,2539,1,0,13,0,3,1,4,0
3967,256,1,14080,1,3,3,96,3352,5,0,24,0,1,1,11,0
5984,289,1,36408,2,2,0,111,5172,5,0,21,0,4,1,17,0
7474,236,1,8727,6,4,0,82,6184,4,1,30,0,2,0,12,1
10895,299,0,16527,12,3,0,60,6348,3,0,35,0,3,1,17,0
785,300,1,52220,20,4,2,61,10322,4,0,20,1,4,1,14,0
6133,318,1,32068,17,2,0,93,6551,3,1,25,0,3,0,10,0
5262,219,1,49075,1,1,7,62,3189,1,0,16,0,1,1,19,0
6182,213,1,51672,16,2,6,74,5669,0,0,28,0,3,0,9,0
3813,271,1,32135,1,4,3,66,2781,3,0,22,0,3,1,13,0
8847,321,1,24228,8,4,1,66,6888,1,0,32,0,4,1,11,0
1169,202,1,17010,1,3,7,86,3517,7,0,17,0,1,0,5,0
10356,284,0,41870,11,3,0,111,6552,1,0,22,0,3,0,14,0
3209,271,1,49139,1,3,3,54,3262,2,0,18,0,3,1,18,0
7891,274,1,14952,8,3,0,66,11718,9,0,18,0,1,1,10,0
6161,323,1,22236,1,1,0,110,4911,1,0,34,1,3,0,20,0
8345,328,1,32557,6,3,6,84,4084,1,1,24,0,1,0,20,0
1123,262,1,23450,10,4,7,51,6142,3,1,16,0,3,0,10,0
10681,313,1,19481,2,3,6,98,3502,7,0,39,1,2,1,26,0
9810,261,0,38934,5,1,0,73,10059,7,0,32,0,1,0,12,0
6709,257,1,21117,9,4,1,89,8230,0,1,23,0,1,0,6,1
7756,396,1,11170,3,3,6,45,7981,2,1,17,0,3,0,28,0
10187,210,1,47433,2,4,14,51,2283,3,0,30,0,3,1,12,0
4359,316,1,19527,18,4,3,44,5464,7,1,28,0,3,1,13,0
11585,312,1,27903,4,1,1,94,10494,1,1,32,0,4,1,27,0
4813,309,1,22613,1,3,11,62,8439,1,0,27,0,3,1,18,0
5292,271,1,12738,1,3,2,86,10299,2,1,25,1,3,1,20,0
6677,199,1,46557,21,3,6,47,2387,1,0,28,1,3,1,1,1
7621,365,1,23315,29,4,0,99,11852,1,1,20,0,4,1,10,1
6445,181,1,10859,10,1,6,88,3512,1,0,27,0,4,0,2,0
7168,268,1,41305,2,2,6,93,5769,2,0,25,0,3,1,15,0
100,277,1,28245,1,4,13,63,2073,4,1,22,1,4,0,7,1
8649,310,1,41796,1,3,0,60,6525,4,0,24,0,4,1,12,0
10379,355,1,23467,9,2,6,81,9676,2,0,29,0,4,0,16,1
6373,338,1,38926,1,4,0,61,5994,4,0,19,0,2,0,10,0
3633,271,1,18593,1,1,3,65,10380,1,1,15,0,1,1,18,1
7619,273,1,49110,6,3,0,58,3217,0,0,19,0,3,1,16,0
5310,271,1,16463,1,3,2,54,3737,3,0,20,0,3,0,19,0
3472,354,1,24652,14,4,11,55,5002,2,0,22,0,4,0,26,0
6531,359,1,8726,2,2,1,41,4544,0,1,33,1,1,1,8,0
7505,229,1,52367,1,1,14,46,4325,1,0,18,0,1,1,10,0
159,255,1,10605,1,4,11,75,2231,6,0,18,0,4,1,6,0
5351,227,1,39863,1,3,2,58,4672,1,0,15,0,1,1,16,0
4512,151,1,30517,1,3,3,79,2972,2,1,24,0,2,0,7,1
8960,254,1,36209,9,3,6,63,4251,7,0,35,1,1,0,18,1
6567,282,1,32841,2,4,6,88,2524,4,0,25,1,3,0,16,0
8633,215,1,41342,1,3,0,90,2051,1,0,16,0,3,1,5,0
10248,250,1,8232,1,4,6,80,2335,1,0,27,0,2,1,11,0
9081,295,1,46484,2,2,0,47,5305,5,0,36,0,4,1,19,0
4757,353,1,45864,1,1,7,113,3022,5,0,24,0,1,0,10,0
11063,275,1,27912,12,5,6,67,8920,2,0,24,0,2,0,24,0
8921,248,1,28979,1,1,0,96,3012,2,0,26,0,4,0,1,0
4577,227,1,46900,1,3,3,47,9478,3,0,22,0,3,1,14,0
5647,241,1,33785,1,2,3,47,6792,8,0,22,0,2,0,18,1
3468,377,1,19713,1,2,2,64,6849,4,1,23,0,1,1,22,1
8978,308,1,22104,4,4,1,93,10919,7,0,29,0,1,1,19,0
2226,240,1,38815,29,4,7,69,4025,9,0,12,0,2,0,10,0
622,240,1,4095,13,4,3,73,4403,2,0,11,0,3,1,8,0
5996,262,1,47397,5,3,6,54,11637,2,0,19,0,4,0,14,0
10117,202,1,32242,20,2,6,88,2208,1,1,31,0,3,0,11,1
114,255,1,36085,1,4,3,45,4505,6,0,15,0,3,1,12,0
1358,232,1,37765,10,2,7,86,6583,2,1,11,0,4,1,8,0
7360,268,1,28318,16,3,6,90,2435,0,0,18,0,3,1,6,0
8265,167,0,8793,10,2,0,52,2636,1,0,23,1,3,0,2,1
4916,279,1,16903,1,3,10,45,9483,3,0,20,0,3,1,17,0
3520,264,1,13470,1,4,3,85,2617,2,0,23,0,2,1,7,0
5373,286,1,35345,1,2,3,46,6949,4,0,27,0,4,1,15,0
6861,272,0,23179,18,4,1,75,4626,0,1,21,0,3,1,5,1
3634,249,1,37458,1,3,3,53,7001,1,0,22,0,1,0,13,0
7971,279,1,32488,1,2,0,60,6207,1,1,21,0,4,1,18,0
5726,324,1,49801,1,4,3,99,5728,2,0,25,1,3,1,13,0
6643,265,1,46666,10,4,0,96,2226,1,1,25,0,4,1,1,0
849,322,1,48020,1,3,11,85,5346,8,0,13,0,2,0,7,1
9790,216,1,45229,11,3,6,119,2585,9,0,36,0,2,1,8,0
6269,288,1,45681,10,4,0,57,4205,2,1,23,0,4,0,18,0
5877,204,1,5473,1,3,3,95,6194,3,1,30,1,2,1,12,0
763,255,1,46655,10,4,3,87,2220,1,1,19,0,4,1,1,0
8679,227,1,12326,6,1,6,94,2814,1,0,16,0,4,0,1,0
11296,380,0,51679,28,2,0,118,4336,5,0,39,1,1,0,26,1
4886,181,1,28839,17,2,10,107,2170,2,0,26,1,4,1,5,0
8106,244,1,38823,29,4,6,73,4031,9,0,16,0,2,0,10,0
124,232,1,8715,1,4,3,76,6172,4,1,18,0,2,0,12,1
10958,219,1,34866,9,3,6,94,2430,6,0,34,0,2,1,6,0
5551,226,1,8484,1,3,7,58,2196,3,0,16,0,2,1,10,0
9243,231,1,48967,22,4,10,87,8474,0,0,32,0,3,0,16,0
6313,350,1,39381,10,3,1,103,9074,2,1,29,0,3,1,15,0
6195,331,0,6480,10,4,0,43,2464,0,0,24,0,1,0,9,0
3435,204,1,49750,1,1,11,99,3089,1,0,19,0,2,1,9,1
3107,226,1,46903,1,3,3,52,9462,4,0,23,0,3,1,17,0
9370,177,1,22807,9,1,6,61,2566,2,0,29,0,4,1,10,0
5094,301,1,23061,10,4,11,81,9751,4,0,17,0,2,1,18,0
11143,155,1,22627,9,2,0,79,2612,1,0,40,1,3,0,5,0
6247,381,1,36616,10,3,14,107,10504,6,0,23,0,4,0,20,0
7184,310,1,26253,12,3,0,50,4456,2,0,15,0,2,1,15,0
8130,216,1,47815,24,2,14,79,8729,1,0,20,0,1,0,10,1
4829,227,1,49037,1,3,3,68,2140,6,0,21,0,3,1,12,0
6244,287,1,32241,10,3,6,106,3458,6,0,24,1,2,1,17,0
10316,253,0,39434,16,1,0,95,3980,2,1,39,1,2,0,17,1
5861,287,1,12108,10,2,3,685,5392,3,0,14,0,3,1,17,0
11271,268,0,23215,18,4,1,91,4665,1,1,32,0,3,1,8,1
7602,228,1,23285,15,3,0,64,2347,1,0,30,0,1,0,6,0
1291,277,1,12950,10,4,7,58,4213,1,0,15,0,2,0,10,1
10637,359,0,45869,4,1,6,125,3026,5,0,31,0,1,0,10,0
8432,185,1,17753,20,1,0,109,2282,0,0,25,0,2,0,5,0
10651,311,1,41040,10,4,0,63,2280,3,1,27,0,3,1,11,0
6814,198,1,9314,1,3,6,43,2108,1,0,25,0,4,0,2,0
3284,263,1,45401,1,4,2,76,8139,1,0,22,0,4,0,21,0
9812,301,1,52020,25,2,0,87,10978,3,0,38,1,2,1,22,0
7125,183,0,31404,10,3,6,65,2149,0,0,18,0,4,1,3,0
11130,275,1,34422,1,4,6,85,2319,8,0,22,0,2,1,11,0
5693,211,1,41365,1,3,3,93,2093,2,0,16,0,3,1,8,0
6775,239,1,46632,11,2,6,84,6842,1,1,24,0,4,0,6,0
7616,243,1,51213,23,3,6,69,5589,0,0,30,1,2,1,10,0
542,285,1,5880,1,3,3,81,7861,4,1,14,0,4,0,10,0
4454,226,1,25272,1,2,7,65,4061,2,0,30,1,4,0,20,0
9850,243,1,11459,8,2,0,51,10838,2,0,37,0,1,1,17,0
3910,204,1,45222,11,3,7,112,2575,9,0,24,0,2,1,8,0
8713,256,1,7607,10,4,1,54,5497,1,0,18,0,2,0,10,0
6035,230,1,52370,1,1,14,44,4330,1,0,23,0,1,1,10,0
680,270,1,6580,1,4,10,65,4678,2,0,18,0,3,0,8,0
1105,247,1,43470,1,4,3,46,6392,2,0,13,0,4,1,8,0
7831,264,1,8893,1,2,0,92,3629,1,1,17,0,4,1,6,0
5185,324,1,14562,25,3,7,92,10852,7,0,23,0,3,1,23,0
4084,233,1,25061,1,4,10,59,5383,7,0,16,0,4,0,17,0
10051,351,1,25140,13,4,0,56,5625,7,0,31,0,4,0,25,0
3055,279,1,41651,1,3,3,92,7485,2,0,22,0,1,0,17,0
9908,329,1,42394,2,3,6,85,4895,4,0,37,0,2,1,10,0
1319,240,1,46130,10,4,11,79,4648,8,0,13,0,3,0,4,0
5428,271,1,6054,1,4,3,50,5864,3,0,20,0,3,0,14,0
9971,223,1,20350,27,3,6,60,4930,0,0,36,1,2,1,10,0
8331,272,0,23181,18,4,1,75,4621,0,1,26,0,3,1,5,1
9246,233,1,39117,2,3,6,60,2625,2,0,38,0,3,0,16,0
6969,281,1,23594,13,3,6,51,4290,1,0,27,0,1,0,10,0
4774,279,1,32270,10,3,7,110,3510,7,0,27,1,2,1,22,0
8989,252,1,4252,6,5,0,61,3095,3,0,34,1,1,0,11,0
3354,181,1,50725,1,1,2,69,3254,2,1,21,0,2,0,8,1
5845,331,1,36330,1,3,7,56,2482,7,1,17,0,3,0,9,0
3852,197,1,20440,1,2,3,67,2919,2,1,30,1,2,0,10,0
11665,254,0,8376,5,2,0,68,2492,5,1,26,0,1,0,14,1
7549,288,1,37952,29,3,14,57,6273,3,0,29,0,1,1,9,0
677,367,1,18445,1,2,10,51,7403,4,0,11,0,3,1,29,0
5009,272,1,36472,13,3,12,41,2199,6,0,22,0,2,1,13,0
10211,300,1,49193,1,3,0,81,2913,4,0,28,0,1,0,24,0
10087,266,1,48163,10,3,0,104,4055,1,1,33,0,3,1,21,0
6522,289,1,13829,9,3,1,105,2904,0,0,28,0,4,1,3,0
4146,197,1,27558,1,3,7,82,2618,1,0,27,1,3,0,11,0
461,262,1,6825,1,3,7,80,4859,1,0,16,0,4,0,5,0
9653,208,1,7015,6,3,0,72,2594,2,0,29,0,3,1,8,0
9975,301,1,6010,3,2,6,92,3124,2,0,29,0,4,1,15,0
11125,272,1,18539,8,4,14,122,4386,1,0,30,0,2,0,6,0
10879,229,1,28223,1,2,0,52,2380,1,1,30,0,4,1,6,1
9258,274,1,44709,16,3,0,90,7688,6,1,20,0,3,0,17,0
4606,264,1,4879,1,3,7,49,4470,7,0,22,0,4,0,17,0
11524,358,1,19061,2,4,1,97,5023,7,0,32,0,4,1,10,0
9079,237,0,10793,29,2,6,88,3539,2,0,30,0,2,0,13,1
15,217,1,48615,21,4,3,51,9980,1,0,11,0,3,1,10,0
7878,385,0,19675,8,2,14,60,6802,3,1,20,0,1,1,18,1
4180,293,1,27753,1,3,3,88,6532,1,1,25,0,4,1,11,0
9196,393,1,41276,14,2,0,99,4990,4,0,29,0,3,1,19,0
5581,302,1,46547,1,3,3,88,2212,4,1,25,0,2,0,14,1
5573,279,1,51484,10,3,7,85,3981,2,0,16,0,1,1,16,0
110,382,1,50960,1,4,7,3,7484,3,0,20,1,3,0,23,0
7479,377,1,16455,20,4,6,105,6575,1,0,25,0,3,0,16,0
4979,272,1,50233,1,4,3,81,7632,3,0,21,0,2,0,16,0
1855,225,1,16240,1,3,2,40,2285,9,1,23,1,3,0,3,1
566,352,1,25165,27,2,3,77,6397,4,1,12,0,4,0,8,1
4555,227,1,7067,1,3,2,99,3251,6,0,18,0,4,1,14,0
9933,247,1,42050,1,4,14,84,4144,5,0,33,0,2,1,13,0
8930,391,0,50995,1,4,6,42,7533,5,0,36,1,3,0,29,0
10021,186,1,46248,8,1,6,106,4051,3,1,25,0,1,0,11,1
8250,278,0,16419,3,3,14,51,3695,1,0,23,0,3,0,12,0
5626,324,1,41306,1,3,7,81,7902,3,1,28,0,1,1,15,0
6954,259,1,18070,8,5,0,74,6393,2,1,26,0,1,0,14,0
5426,234,1,7113,1,3,3,48,1315,2,0,24,0,3,0,4,1
8361,279,1,41095,3,4,1,109,9282,3,1,22,0,4,0,15,0
8337,390,0,18943,2,3,1,57,10603,2,0,22,0,2,0,14,0
9882,341,0,41809,2,1,6,109,10267,5,1,34,0,2,0,22,0
7083,404,1,48830,24,4,6,58,7013,3,0,26,0,3,0,11,0
911,187,1,20965,24,1,3,73,1118,1,1,14,0,4,0,1,1
9191,225,1,44951,23,3,0,73,2253,10,0,34,0,4,0,13,0
10025,251,1,44120,2,4,0,120,1461,3,0,21,0,1,0,5,1
9069,352,0,42010,7,4,0,100,6482,4,0,33,0,4,1,11,0
4503,347,1,22361,1,3,7,48,10726,3,1,22,0,3,1,28,0
5645,346,1,44738,1,3,3,79,10411,6,1,20,0,2,1,19,0
10420,335,0,33547,28,3,6,90,4804,5,0,21,0,4,0,25,0
8261,197,0,20968,24,1,0,81,1129,1,1,22,0,4,0,1,1
4148,257,1,40537,1,2,7,66,4032,2,0,25,0,3,1,21,0
4752,234,1,43168,1,4,7,48,7187,2,1,20,0,3,0,14,0
9890,217,0,16387,7,3,0,78,4950,2,0,26,0,4,0,7,0
8767,245,1,40395,2,2,0,61,3073,0,0,27,0,3,1,3,0
1937,277,1,4970,1,4,7,69,8834,1,0,13,0,4,1,9,0
7152,296,1,40365,6,2,10,44,3713,1,0,15,0,2,1,5,0
7994,245,1,42782,11,4,0,51,2367,3,1,23,0,2,1,8,0
6419,387,1,11068,8,4,1,59,3885,7,0,26,0,4,1,4,0
9909,291,1,23626,13,3,6,67,4337,3,0,36,0,1,0,15,0
